id,skill,score
66,C#,1
67,Java,1
67,SPSS,1
67,JavaScript,4
68,C#,2
68,SPSS,4
68,JavaScript,3
69,SPSS,2
69,PHP,5
69,C++,8
70,Python,6
70,Java,3
71,C#,2
71,Ruby,2
71,PHP,1
72,SPSS,3
72,PHP,2
73,Ruby,1
73,R,1
73,SPSS,1
73,JavaScript,3
74,Java,2
74,R,5
74,C++,2
74,JavaScript,3
75,SPSS,3
75,PHP,1
75,C++,1
76,Python,4
76,Ruby,2
76,SPSS,3
76,C++,6
77,Python,7
77,Ruby,7
77,C++,2
77,JavaScript,1
78,Python,2
78,C#,1
78,R,5
78,SPSS,1
79,C#,2
79,Java,3
79,Ruby,7
79,R,1
80,PHP,3
81,C#,5
81,Ruby,4
81,R,5
81,SPSS,7
81,PHP,1
82,Python,1
82,Java,3
82,C++,1
83,Python,7
83,C#,1
83,R,2
83,SPSS,3
83,C++,6
84,Java,2
84,R,3
84,PHP,1
84,JavaScript,6
85,Python,3
85,C#,3
85,Ruby,4
85,C++,1
86,Java,4
87,C#,1
88,C#,3
88,R,1
88,JavaScript,3
89,Python,4
89,Java,6
89,Ruby,2
89,SPSS,3
89,PHP,4
90,SPSS,4
90,C++,6
91,Python,4
91,Java,2
91,Ruby,5
91,C++,6
91,JavaScript,2
92,Python,4
92,C#,1
92,R,3
93,C#,4
93,R,2
93,JavaScript,2
94,Java,3
94,C++,3
94,JavaScript,2
95,Java,3
95,Ruby,2
95,R,2
95,SPSS,4
95,PHP,7
95,C++,1
96,Java,6
96,R,4
96,C++,3
96,JavaScript,3
97,C#,2
97,Ruby,4
97,SPSS,3
97,C++,1
97,JavaScript,5
98,C#,1
98,Ruby,2
98,R,6
98,PHP,1
98,C++,5
98,JavaScript,3
99,Python,6
99,SPSS,3
100,Python,2
100,Ruby,4
101,Python,1
101,Java,1
101,SPSS,2
101,C++,4
101,JavaScript,1
102,C#,1
102,Ruby,5
102,SPSS,2
102,PHP,1
102,JavaScript,2
103,C++,6
104,SPSS,3
104,PHP,2
105,Python,2
105,C#,2
105,Java,3
105,SPSS,2
105,JavaScript,3
106,C#,2
106,Java,2
106,PHP,2
106,JavaScript,4
107,Python,2
107,C#,3
107,SPSS,6
108,Ruby,3
108,PHP,2
109,C#,3
109,Java,4
109,R,4
110,Ruby,6
110,R,3
110,SPSS,4
111,C#,1
111,Java,2
111,R,2
112,Python,1
112,C#,4
113,Ruby,3
113,JavaScript,1
114,Python,3
114,C#,3
114,Ruby,2
114,R,7
114,SPSS,1
114,PHP,2
114,JavaScript,1
115,Python,4
115,Ruby,3
115,R,1
116,Java,4
116,R,3
116,SPSS,3
116,PHP,3
117,Python,7
117,R,1
118,Java,1
118,R,1
119,JavaScript,1
120,Java,3
120,Ruby,4
120,PHP,1
120,JavaScript,4
121,C#,1
121,Ruby,3
121,JavaScript,3
122,C#,1
122,Ruby,2
122,R,4
122,SPSS,4
122,PHP,1
122,C++,3
123,Java,1
123,SPSS,3
123,JavaScript,1
124,Java,7
124,R,5
124,SPSS,7
124,PHP,1
124,C++,4
125,Python,6
125,Java,3
125,C++,3
126,Java,1
126,C++,4
127,Ruby,4
127,R,6
127,SPSS,6
128,Java,3
128,R,3
128,PHP,1
129,Python,4
129,C#,5
129,Java,5
129,Ruby,4
129,SPSS,3
129,C++,2
130,Python,2
130,C#,5
130,JavaScript,5
131,Python,1
131,C#,2
131,Ruby,4
131,R,1
132,Python,5
132,C#,2
132,Java,2
132,C++,1
133,Java,1
133,SPSS,1
133,C++,1
134,R,4
134,C++,2
135,Java,2
135,C++,4
135,JavaScript,3
136,Java,3
136,Ruby,3
136,C++,1
137,C#,5
137,Ruby,1
137,R,2
137,C++,2
138,Java,2
138,R,2
139,Python,1
139,Ruby,1
140,Java,2
140,R,1
140,SPSS,2
140,PHP,1
141,Java,3
141,R,4
141,SPSS,5
141,PHP,3
141,C++,1
142,C#,4
142,Ruby,2
142,R,1
142,SPSS,3
142,PHP,2
142,JavaScript,3
143,C#,2
143,Java,1
143,R,1
144,Java,1
144,PHP,2
145,Python,1
145,R,1
145,JavaScript,4
146,C++,5
147,C#,2
147,SPSS,5
147,PHP,3
147,C++,8
148,Python,1
148,C#,5
148,Java,1
148,C++,2
149,Ruby,2
149,PHP,3
149,C++,4
149,JavaScript,4
150,Ruby,7
150,R,5
150,SPSS,4
150,JavaScript,3
151,Java,1
151,JavaScript,2
152,Python,1
152,C#,2
152,JavaScript,4
153,Python,5
153,R,5
154,Python,6
154,Java,2
155,Python,6
155,Java,2
156,Java,1
156,R,2
156,SPSS,7
156,PHP,2
157,SPSS,7
157,C++,2
157,JavaScript,5
158,SPSS,3
158,C++,1
159,Python,5
160,Python,1
160,Java,3
160,Ruby,2
160,R,2
160,SPSS,5
161,Python,5
161,C#,2
161,SPSS,2
162,Python,2
162,C#,1
162,Ruby,2
162,SPSS,5
162,JavaScript,2
163,Java,5
163,Ruby,2
163,SPSS,4
163,PHP,1
164,Python,1
164,Java,2
164,R,7
164,SPSS,2
165,JavaScript,2
166,Python,3
166,PHP,1
167,Java,5
167,SPSS,1
168,Python,3
169,R,3
169,PHP,4
170,Java,7
170,Ruby,3
170,PHP,4
170,C++,3
171,Python,5
171,R,1
171,SPSS,2
171,PHP,1
171,C++,3
171,JavaScript,2
172,C#,2
172,R,3
173,C#,5
173,Java,4
173,Ruby,3
173,C++,3
173,JavaScript,2
174,Python,6
174,C++,3
175,R,1
176,C#,1
176,Ruby,2
176,SPSS,2
176,C++,2
176,JavaScript,1
177,Python,3
177,SPSS,3
178,Python,2
178,Java,1
178,Ruby,3
178,R,8
178,SPSS,3
178,JavaScript,1
179,C#,2
179,SPSS,2
180,JavaScript,4
181,C#,4
181,JavaScript,5
182,C#,5
182,Java,2
182,R,1
182,PHP,4
182,C++,4
182,JavaScript,1
183,Java,5
184,C#,4
184,Ruby,5
184,SPSS,1
184,C++,1
185,C#,3
186,C#,2
186,Java,3
186,Ruby,3
186,R,5
186,C++,3
187,Java,5
187,PHP,2
187,JavaScript,1
188,Python,6
188,Ruby,1
188,R,7
188,C++,4
188,JavaScript,1
189,Python,4
189,C#,4
189,PHP,3
189,JavaScript,3
190,Java,5
190,SPSS,5
191,Python,1
191,C#,1
191,Java,4
191,PHP,1
192,C#,2
192,R,5
192,JavaScript,5
193,Python,2
193,Java,1
193,Ruby,2
193,R,2
193,C++,3
193,JavaScript,2
194,C#,1
194,SPSS,1
194,C++,4
194,JavaScript,3
195,Java,1
195,PHP,3
196,Python,4
196,Java,5
196,SPSS,3
197,C#,1
197,Ruby,3
197,R,2
197,SPSS,2
197,PHP,2
197,C++,3
198,Java,1
198,C++,3
198,JavaScript,1
199,Java,2
199,SPSS,1
200,Python,4
200,C#,1
200,Java,2
200,Ruby,1
200,SPSS,6
200,JavaScript,3
201,C#,1
201,Java,3
201,R,1
201,PHP,2
201,C++,4
202,Python,4
202,C#,2
202,PHP,3
203,Python,3
203,C#,5
203,Java,5
203,C++,4
204,Java,6
204,JavaScript,4
205,Python,1
205,Java,3
205,SPSS,3
206,Python,3
206,C#,4
206,Java,2
206,Ruby,2
206,R,2
206,JavaScript,3
207,C#,2
207,Ruby,4
207,JavaScript,4
208,C#,1
208,Java,1
208,JavaScript,3
209,Python,6
209,C#,1
209,Java,1
209,JavaScript,6
210,Python,2
210,R,1
210,SPSS,4
210,PHP,3
211,Java,4
211,Ruby,1
211,R,2
212,Java,4
212,Ruby,1
212,R,2
213,R,3
213,PHP,1
213,JavaScript,1
214,Java,1
215,Python,1
215,Ruby,3
215,R,4
215,JavaScript,4
216,SPSS,4
216,C++,3
217,Python,1
217,C#,4
217,SPSS,2
217,PHP,1
217,C++,2
218,R,1
218,C++,1
219,Ruby,7
219,SPSS,1
219,C++,4
219,JavaScript,2
220,Python,5
220,PHP,4
221,Python,5
221,R,2
221,JavaScript,6
222,Java,4
222,SPSS,3
222,JavaScript,7
223,C#,2
223,Java,5
223,R,3
223,PHP,1
223,JavaScript,5
224,SPSS,2
225,R,2
226,C#,2
226,Java,4
226,Ruby,4
226,PHP,1
226,JavaScript,1
227,Java,2
227,Ruby,3
227,R,2
227,SPSS,1
227,PHP,1
228,PHP,1
229,SPSS,1
229,C++,2
230,JavaScript,4
231,C#,5
231,Java,1
231,R,1
231,C++,1
232,PHP,1
232,C++,3
232,JavaScript,6
233,SPSS,2
234,C#,3
234,Ruby,3
234,PHP,3
235,Python,2
235,C#,1
235,Java,1
235,Ruby,5
235,R,2
235,SPSS,4
235,C++,1
236,C#,6
236,C++,2
237,Python,3
237,JavaScript,7
238,C#,3
238,Java,2
238,SPSS,2
238,C++,2
238,JavaScript,5
239,Python,1
239,Java,1
240,Ruby,1
240,C++,5
241,Python,2
241,C++,4
242,Python,3
242,Ruby,1
243,C#,2
243,R,6
243,SPSS,2
243,C++,6
243,JavaScript,3
244,Python,4
244,C#,4
244,Java,4
244,Ruby,5
244,PHP,2
244,JavaScript,3
245,Python,3
245,Java,5
245,Ruby,3
245,PHP,2
245,JavaScript,7
246,C#,4
246,R,4
246,PHP,1
246,JavaScript,5
247,C#,6
247,Java,7
247,R,6
247,SPSS,6
247,JavaScript,1
248,Python,5
248,Ruby,2
248,SPSS,2
248,C++,4
249,Python,3
249,Ruby,6
249,C++,1
249,JavaScript,3
250,SPSS,1
250,PHP,1
251,Ruby,6
251,SPSS,3
251,C++,6
252,Python,2
252,C#,3
252,Ruby,5
252,C++,4
253,C++,3
253,JavaScript,2
255,Java,1
255,PHP,2
256,Python,1
256,C#,6
256,SPSS,5
257,Python,2
257,Ruby,3
258,C#,1
258,Ruby,4
259,C#,4
259,SPSS,3
259,PHP,2
259,C++,1
260,C#,3
260,Java,1
260,R,2
260,SPSS,1
260,C++,2
261,Python,2
261,C#,3
261,PHP,2
261,C++,3
262,Python,1
262,Java,2
262,C++,4
263,Python,1
263,R,1
263,C++,5
263,JavaScript,4
264,C#,7
264,R,4
264,SPSS,1
265,C#,5
265,Java,1
265,Ruby,5
265,R,2
265,SPSS,1
265,C++,4
265,JavaScript,7
266,Python,1
266,C#,1
266,R,3
266,SPSS,1
266,PHP,2
266,C++,2
267,Python,3
267,C#,2
267,Java,3
268,Python,3
268,Ruby,2
268,PHP,3
269,Python,3
269,Ruby,5
269,R,5
270,Python,2
270,C#,1
270,Java,4
271,C#,1
271,PHP,4
271,JavaScript,5
272,Python,5
272,C#,1
272,Java,4
272,Ruby,2
272,SPSS,3
272,C++,5
272,JavaScript,2
273,C#,3
273,PHP,1
273,C++,5
273,JavaScript,2
274,R,1
274,PHP,1
275,Python,4
276,Python,4
276,Java,2
276,Ruby,2
276,SPSS,2
276,C++,2
277,Python,3
277,C#,3
277,Ruby,4
277,R,3
277,SPSS,4
277,C++,4
278,C#,5
278,SPSS,2
279,Ruby,2
279,R,4
279,PHP,3
279,C++,6
280,Python,6
280,C#,3
280,Ruby,3
280,R,5
281,C#,4
281,R,6
281,PHP,2
281,JavaScript,7
282,Python,1
282,C#,2
283,C#,6
284,Java,2
284,R,6
285,Python,2
285,C#,6
285,Java,7
285,Ruby,4
285,SPSS,3
285,PHP,4
286,Ruby,1
286,JavaScript,3
287,C#,4
287,Java,3
287,Ruby,1
287,R,2
287,SPSS,4
288,Python,2
288,R,2
289,Java,4
289,C++,1
289,JavaScript,7
290,Python,1
290,Java,1
290,C++,3
291,Java,2
291,Ruby,1
291,PHP,2
291,C++,3
292,C#,3
292,Java,3
293,Python,2
293,Java,4
293,PHP,1
294,Python,1
294,C#,1
294,Java,1
294,R,2
295,Java,1
296,Ruby,3
296,C++,1
296,JavaScript,2
297,C#,2
297,Java,8
297,SPSS,1
298,Python,4
298,Java,1
298,Ruby,5
298,R,1
298,SPSS,2
298,PHP,3
298,C++,2
299,Java,2
299,Ruby,1
299,R,2
299,SPSS,1
299,PHP,5
299,C++,1
300,Python,1
300,Ruby,1
300,SPSS,3
300,C++,4
301,Java,2
301,SPSS,3
301,PHP,1
302,Python,4
303,C#,3
303,Java,5
303,Ruby,1
303,R,3
303,C++,5
303,JavaScript,3
304,Java,1
304,Ruby,3
304,R,4
304,C++,4
305,C#,2
306,Java,1
306,C++,4
307,Python,3
307,Ruby,1
307,PHP,3
307,C++,5
308,PHP,6
309,Java,2
309,PHP,1
309,C++,7
310,Python,2
310,Java,9
310,R,2
310,PHP,5
311,Python,5
311,Ruby,2
311,R,3
311,C++,4
312,Python,2
312,C#,1
312,Java,4
312,PHP,1
313,Python,1
313,R,2
313,PHP,4
314,Python,1
314,Java,3
314,R,4
315,Python,2
315,C#,2
315,Ruby,1
315,C++,5
315,JavaScript,4
316,C#,2
316,Java,1
316,Ruby,2
316,R,3
316,SPSS,1
316,JavaScript,1
317,Python,4
317,Java,2
317,Ruby,5
318,Ruby,5
318,R,2
319,C#,1
319,R,5
319,PHP,1
320,SPSS,1
320,C++,2
321,Ruby,2
321,C++,8
321,JavaScript,2
322,Ruby,6
322,PHP,1
322,JavaScript,3
323,PHP,2
324,PHP,4
324,C++,6
325,Java,2
326,Python,2
326,Java,1
326,R,3
326,PHP,1
327,Python,4
327,C#,1
327,Java,2
327,C++,9
327,JavaScript,1
328,Python,5
328,Ruby,3
328,SPSS,4
329,Python,1
329,Ruby,1
329,R,1
329,PHP,1
329,C++,2
330,Ruby,2
330,R,2
330,SPSS,5
330,PHP,1
331,Java,1
331,SPSS,2
331,PHP,1
331,JavaScript,1
332,Java,2
332,SPSS,1
333,Python,2
333,Java,4
333,Ruby,1
333,SPSS,3
333,C++,3
334,C#,5
334,R,2
335,C#,2
335,R,3
336,C#,4
336,R,3
336,C++,2
337,R,2
337,SPSS,3
337,JavaScript,10
338,Ruby,4
338,R,6
338,JavaScript,1
339,C#,5
339,Java,2
339,R,3
339,PHP,2
339,C++,2
339,JavaScript,3
340,C#,6
340,Ruby,2
340,R,3
340,SPSS,1
341,Java,3
341,Ruby,1
342,Ruby,3
343,Python,5
343,C#,5
343,Java,4
343,R,3
344,Python,4
344,Java,1
344,Ruby,3
344,PHP,2
344,C++,3
344,JavaScript,1
345,C#,4
345,Java,1
345,SPSS,1
346,Python,3
346,C#,1
346,Java,5
346,JavaScript,3
347,Python,5
347,Java,4
347,Ruby,4
347,SPSS,1
347,PHP,2
347,C++,2
348,Python,2
348,Java,1
348,Ruby,1
348,PHP,1
349,Python,6
349,R,5
349,C++,2
350,Java,3
350,SPSS,5
350,JavaScript,8
351,Python,5
351,R,3
351,PHP,1
351,JavaScript,1
352,Java,1
352,Ruby,1
352,PHP,2
352,C++,3
353,C#,5
353,Java,1
354,Python,7
354,Java,2
354,Ruby,2
355,Python,7
355,Java,2
355,Ruby,2
356,C#,3
356,SPSS,3
357,Python,2
357,C#,2
357,Ruby,5
357,PHP,2
358,Java,2
359,C#,3
359,Ruby,3
359,JavaScript,3
360,SPSS,5
360,PHP,2
361,SPSS,3
361,C++,5
362,Python,2
362,Java,3
362,R,2
362,PHP,2
363,Java,6
363,R,5
363,PHP,3
364,Python,3
364,Java,2
364,C++,4
365,Python,5
365,SPSS,2
365,PHP,1
365,C++,2
365,JavaScript,1
366,C#,1
366,JavaScript,1
367,C#,4
367,R,3
367,SPSS,1
367,JavaScript,2
368,Python,2
368,Java,3
369,C++,4
370,R,1
370,SPSS,1
372,Ruby,8
372,R,3
372,SPSS,1
372,PHP,1
372,JavaScript,3
373,Ruby,2
373,SPSS,1
374,C#,5
374,Java,4
374,PHP,1
374,C++,5
374,JavaScript,3
375,Java,2
375,PHP,6
375,C++,1
376,Python,3
376,Java,3
376,Ruby,4
376,SPSS,2
376,PHP,2
376,C++,1
377,Java,3
377,Ruby,2
377,R,7
377,SPSS,2
377,PHP,1
377,C++,2
378,Python,2
378,R,5
378,PHP,5
378,C++,4
378,JavaScript,1
379,C#,4
379,Ruby,3
380,SPSS,4
380,JavaScript,3
381,R,9
381,SPSS,4
381,C++,3
381,JavaScript,5
382,C#,3
382,Java,4
382,Ruby,5
382,R,6
382,SPSS,2
382,C++,3
383,Python,4
383,C#,9
383,Ruby,1
383,R,2
384,Python,2
384,C#,2
384,Ruby,8
385,Ruby,1
385,R,2
385,PHP,2
386,SPSS,1
386,PHP,1
387,SPSS,3
387,C++,1
388,Python,2
388,SPSS,3
388,PHP,4
388,JavaScript,6
389,Java,2
389,R,3
389,SPSS,3
389,C++,2
390,C#,3
391,Python,6
391,C#,1
391,R,4
392,Python,5
392,Java,2
392,Ruby,7
392,C++,1
393,C#,1
393,SPSS,2
394,Python,4
394,C#,3
394,Java,4
394,JavaScript,4
395,C#,1
396,C#,2
396,Ruby,3
397,Python,2
397,C++,5
397,JavaScript,4
398,Java,3
398,PHP,2
399,C#,3
399,Ruby,6
399,C++,6
399,JavaScript,1
400,Ruby,2
400,R,4
400,SPSS,2
400,PHP,1
400,C++,5
401,Python,1
401,C#,2
401,SPSS,3
402,Python,1
402,R,2
402,SPSS,1
402,PHP,3
402,JavaScript,7
403,Python,1
403,R,3
403,JavaScript,1
404,R,1
404,C++,1
405,Python,5
405,Ruby,1
405,SPSS,2
406,Java,3
407,Ruby,5
407,SPSS,2
408,Python,4
408,SPSS,2
408,JavaScript,4
409,Ruby,3
409,R,1
409,PHP,2
410,Java,5
410,R,4
410,SPSS,4
410,PHP,3
410,JavaScript,2
411,C#,5
411,Ruby,1
411,PHP,4
412,JavaScript,1
413,C#,6
413,Ruby,4
413,JavaScript,3
414,C#,1
414,Java,3
414,PHP,4
414,JavaScript,2
415,R,6
415,SPSS,2
415,C++,2
415,JavaScript,3
416,Python,3
416,R,2
416,SPSS,3
417,Python,2
417,C#,1
417,Ruby,4
417,R,3
417,C++,1
417,JavaScript,1
418,PHP,1
419,Python,5
419,Java,1
420,Python,2
420,C#,3
420,Java,2
420,Ruby,1
421,R,2
421,PHP,3
421,C++,4
422,Python,1
422,Ruby,1
422,R,1
423,Python,5
423,R,2
423,C++,4
423,JavaScript,4
424,Python,2
424,C#,6
425,Python,5
425,C#,4
425,SPSS,2
425,C++,1
426,Python,4
426,C#,5
427,Python,2
427,PHP,1
427,JavaScript,3
429,Python,2
429,Java,5
429,PHP,1
429,JavaScript,1
430,SPSS,5
430,C++,7
430,JavaScript,3
431,C#,3
431,PHP,1
432,Python,4
432,C#,3
432,Java,5
432,PHP,1
432,C++,2
433,Python,3
433,Ruby,5
433,C++,2
434,Python,3
434,Java,9
434,Ruby,5
435,Python,1
435,Java,4
435,JavaScript,4
436,Python,3
436,Java,3
436,Ruby,1
436,SPSS,4
436,PHP,3
436,C++,2
437,C#,1
437,C++,6
438,SPSS,5
439,C#,1
439,Ruby,3
439,JavaScript,3
440,Python,4
440,C#,4
440,Java,5
440,SPSS,2
440,JavaScript,4
441,Python,1
441,R,1
441,SPSS,5
441,JavaScript,5
442,Python,4
442,PHP,2
443,C#,1
443,Ruby,3
443,SPSS,9
443,PHP,1
444,C#,1
444,PHP,3
445,Ruby,1
445,SPSS,8
445,C++,4
445,JavaScript,3
446,Python,2
446,C#,2
446,R,5
446,PHP,1
446,JavaScript,2
447,Ruby,4
447,JavaScript,1
448,SPSS,3
448,PHP,1
449,Python,2
449,C#,3
449,Ruby,3
449,R,6
449,PHP,2
450,C#,2
450,Java,4
450,Ruby,2
450,PHP,2
451,Java,1
451,PHP,3
452,Python,4
452,C#,3
452,Java,1
452,R,5
452,PHP,4
452,C++,4
453,R,2
453,SPSS,3
453,C++,3
454,C#,3
454,Java,1
454,PHP,2
454,JavaScript,2
455,R,2
455,PHP,1
456,Python,2
456,R,2
457,R,1
457,PHP,2
457,C++,5
458,Python,3
458,Java,3
458,Ruby,3
458,R,1
459,Java,1
459,SPSS,1
459,PHP,4
460,Python,4
460,C#,1
460,Java,2
460,PHP,1
460,C++,4
461,C#,2
461,C++,5
461,JavaScript,6
462,Python,8
462,C#,1
462,Java,5
462,Ruby,1
463,JavaScript,3
464,Python,2
464,Java,5
465,Python,6
465,R,2
465,SPSS,3
465,PHP,3
466,C#,1
466,Ruby,4
466,SPSS,3
466,C++,2
467,C#,1
467,Ruby,4
467,SPSS,3
467,C++,2
468,Python,2
468,R,2
468,SPSS,1
468,PHP,6
469,Python,2
469,C++,4
470,R,1
471,C#,5
471,PHP,1
471,JavaScript,2
472,Java,6
472,R,2
472,C++,3
473,Python,7
473,Ruby,3
473,R,4
473,SPSS,4
473,PHP,5
473,C++,3
474,Python,1
474,C#,1
474,R,1
474,PHP,2
474,JavaScript,3
475,Python,6
475,R,1
475,SPSS,5
475,PHP,3
476,Java,4
476,C++,5
477,Python,2
477,Ruby,4
477,PHP,1
477,JavaScript,3
478,Java,3
478,PHP,3
478,JavaScript,2
479,Java,3
479,Ruby,3
480,Python,1
480,Java,3
481,Python,4
481,R,3
481,PHP,1
482,Ruby,4
482,SPSS,5
482,C++,1
483,R,4
483,PHP,1
483,C++,3
484,Python,3
484,Java,2
484,Ruby,4
484,SPSS,1
485,Ruby,1
485,R,2
485,JavaScript,2
486,C#,7
486,Java,1
486,Ruby,6
487,Ruby,4
487,R,1
487,PHP,2
487,C++,4
487,JavaScript,1
489,R,4
490,Python,3
490,Java,1
490,Ruby,5
490,PHP,1
491,Python,5
491,Java,6
491,R,1
491,PHP,1
493,R,8
493,JavaScript,5
494,C#,6
494,Java,2
494,Ruby,3
494,PHP,3
494,C++,3
495,Ruby,2
495,R,3
496,Python,4
497,C#,3
497,Ruby,3
497,R,3
497,SPSS,2
497,PHP,3
498,Python,3
498,Java,1
499,R,1
500,C++,4
501,R,1
501,C++,1
502,R,7
502,PHP,1
502,C++,3
503,Java,2
504,R,3
504,C++,1
505,C#,1
505,Java,3
505,Ruby,6
505,PHP,1
505,JavaScript,6
507,C#,2
507,Ruby,4
507,PHP,5
508,SPSS,3
509,JavaScript,1
510,Python,3
510,C++,4
510,JavaScript,6
511,C#,3
511,R,2
511,SPSS,7
511,C++,2
512,Ruby,5
512,PHP,2
513,R,4
513,SPSS,2
513,JavaScript,3
514,C++,2
514,JavaScript,5
515,Python,7
515,Java,4
515,C++,3
515,JavaScript,2
516,Python,4
516,C#,2
516,Java,4
516,R,2
516,PHP,1
517,Python,7
517,C#,2
517,Ruby,1
517,C++,2
517,JavaScript,5
518,Python,3
518,Ruby,5
518,C++,2
518,JavaScript,3
519,C#,1
519,Ruby,6
519,R,4
519,PHP,3
520,C#,1
520,SPSS,5
520,C++,3
520,JavaScript,4
521,Java,1
521,PHP,2
522,Python,6
522,Java,2
522,PHP,1
523,Java,4
523,PHP,1
523,JavaScript,2
524,Java,1
524,JavaScript,1
525,Java,3
525,JavaScript,3
526,Python,3
526,C++,6
527,C#,2
527,Ruby,6
527,JavaScript,5
528,Python,2
528,Ruby,2
529,PHP,3
530,Python,1
530,C++,3
531,C#,5
531,Java,2
531,R,3
531,C++,1
532,Ruby,5
532,PHP,1
532,JavaScript,2
533,R,4
533,C++,4
534,Java,2
534,Ruby,4
534,R,1
535,Python,1
535,C#,1
535,Java,3
535,R,5
535,PHP,2
536,Python,4
536,C#,4
536,Java,2
536,Ruby,4
536,JavaScript,1
537,Python,3
538,Python,3
538,Java,2
538,Ruby,4
538,R,4
538,SPSS,3
538,PHP,2
538,JavaScript,3
539,Python,4
539,C#,2
539,SPSS,2
539,C++,2
540,Python,3
540,Java,1
540,Ruby,3
540,PHP,1
541,Java,1
542,Java,4
542,Ruby,3
542,C++,4
543,Ruby,4
543,R,2
543,PHP,1
543,C++,3
543,JavaScript,3
544,R,5
544,C++,1
545,Java,2
545,SPSS,3
545,C++,4
546,Java,1
546,R,4
547,Java,3
547,PHP,1
547,JavaScript,2
548,Python,1
548,C#,1
548,Java,4
548,C++,4
549,Python,3
549,R,1
550,Python,2
550,Ruby,2
550,SPSS,4
550,PHP,1
550,C++,4
551,C#,3
552,Java,4
553,Python,2
553,Java,4
553,Ruby,3
553,SPSS,2
554,Python,1
554,C#,2
554,Java,5
554,Ruby,3
555,Ruby,3
555,C++,6
555,JavaScript,2
556,Ruby,2
556,SPSS,5
556,PHP,1
557,Ruby,4
557,PHP,1
558,Python,1
558,C++,3
559,C#,6
559,Java,2
559,Ruby,3
559,R,2
559,PHP,1
559,C++,4
560,C#,3
560,Java,2
560,PHP,2
560,C++,4
561,C#,2
561,Ruby,3
561,R,2
561,C++,3
562,Java,4
562,PHP,2
562,C++,1
562,JavaScript,2
563,C#,3
563,Ruby,7
563,R,3
564,Python,5
564,C#,6
564,R,2
564,PHP,3
565,Java,1
565,Ruby,2
565,R,3
565,PHP,1
566,Python,1
566,C#,2
566,Java,4
566,Ruby,5
566,R,4
566,C++,7
567,Python,2
567,C#,4
567,Java,1
567,Ruby,1
567,R,5
567,SPSS,1
567,JavaScript,2
568,C#,3
568,R,2
568,JavaScript,7
569,C#,3
569,Java,2
569,SPSS,4
570,C#,3
570,PHP,2
570,C++,4
571,Java,2
571,C++,5
572,Python,2
